,Team_left,PG,SG,SF,PF,C,Player,Stage 1: FPS,Stage 2,Team_right,Stage 3
0,Atlanta Hawks,46.245,45.605,38.85,50.655,50.7075,Precious Achiuwa,20.6,29.03225806451613,Toronto,40.47619047619048
1,Brooklyn Nets,56.0975,45.9675,37.3275,44.865,55.31500000000001,Steven Adams,23.65,22.58064516129032,Dallas,38.095238095238095
2,Boston Celtics,47.3375,45.3125,34.355000000000004,40.7225,52.09000000000001,Bam Adebayo,34.050000000000004,35.483870967741936,Sacramento,59.523809523809526
3,Charlotte Hornets,51.17,41.1625,44.837500000000006,40.705000000000005,59.5,Ochai Agbaji,7.95,16.129032258064516,New Orleans,45.23809523809524
4,Chicago Bulls,46.66,40.535,48.0975,48.5325,49.135000000000005,Santi Aldama,22.524999999999995,19.35483870967742,Phoenix,33.33333333333333
5,Cleveland Cavaliers,39.13,37.62499999999999,42.395,44.85999999999999,42.259999999999984,Nickeil Alexander-Walker,9.95,48.38709677419355,Chicago,47.61904761904761
6,Dallas Mavericks,44.11000000000001,46.9225,39.2825,37.0625,38.625,Grayson Allen,18.625,25.806451612903224,Washington,50.0
7,Denver Nuggets,51.8975,43.9025,42.06,46.370000000000005,54.585,Jarrett Allen,30.775,32.25806451612903,Indiana,64.28571428571429
8,Detroit Pistons,60.19499999999999,42.81,41.095000000000006,48.1225,52.0825,Jose Alvarado,15.85,25.806451612903224,Philadelphia,45.23809523809524
9,Golden State Warriors,47.88,44.85249999999999,37.595,49.48,64.125,Kyle Anderson,8.825,25.806451612903224,Cleveland,33.33333333333333
10,Houston Rockets,58.9675,49.865,40.19,49.975,49.475,Giannis Antetokounmpo,60.85,58.06451612903226,Portland,52.38095238095239
11,Indiana Pacers,53.8725,46.142500000000005,45.63999999999999,40.6325,56.78000000000001,Thanasis Antetokounmpo,0.0,0.0,Boston,50.0
12,Los Angeles Clippers,51.77,41.5075,37.7375,48.3575,51.44,Cole Anthony,31.050000000000004,32.25806451612903,Miami,64.28571428571429
13,Los Angeles Lakers,55.905,37.1625,49.782500000000006,41.3275,63.4975,OG Anunoby,31.350000000000005,38.70967741935484,Denver,66.66666666666666
14,Memphis Grizzlies,49.82,44.4875,48.39,45.220000000000006,49.807500000000005,Ryan Arcidiacono,0.0,0.0,Milwaukee,26.190476190476197
15,Miami Heat,45.98,40.627500000000005,49.10999999999999,44.185,45.27499999999999,Deni Avdija,13.425,29.03225806451613,San Antonio,61.90476190476191
16,Milwaukee Bucks,45.29749999999999,43.775,39.6525,34.1625,46.015,Deandre Ayton,29.45,32.25806451612903,Orlando,61.90476190476191
17,Minnesota Timberwolves,47.57999999999999,43.7025,46.805000000000014,49.782500000000006,55.057500000000005,Udoka Azubuike,7.875,32.25806451612903,Memphis,85.71428571428571
18,New Orleans Pelicans,52.11500000000001,36.1525,52.03999999999999,40.24,48.20249999999999,Patrick Baldwin Jr.,0.0,0.0,LA Clippers,47.61904761904761
19,New York Knicks,50.2925,42.3525,43.4975,50.50749999999999,42.68749999999999,Mo Bamba,12.074999999999998,25.806451612903224,Houston,76.19047619047619
20,Oklahoma City Thunder,45.1825,41.532500000000006,40.6025,41.0375,65.6325,Paolo Banchero,40.80000000000001,41.935483870967744,Detroit,71.42857142857143
21,Orlando Magic,45.35,44.485,35.71,48.40749999999999,47.085,Desmond Bane,41.175,61.29032258064516,Atlanta,52.38095238095239
22,Philadelphia 76ers,38.4825,40.895,42.145,46.515,53.627500000000005,Dalano Banton,6.25,29.03225806451613,Golden State,73.80952380952381
23,Phoenix Suns,52.69749999999999,34.36999999999999,38.695,36.6925,49.16499999999999,Harrison Barnes,22.825,22.58064516129032,Charlotte,47.61904761904761
24,Portland Trail Blazers,46.0975,40.032500000000006,44.1325,44.84999999999999,54.1,Scottie Barnes,32.6,51.61290322580645,Brooklyn,76.19047619047619
25,Sacramento Kings,50.975,40.462500000000006,46.6625,41.58,47.3,RJ Barrett,28.450000000000003,35.483870967741936,Okla City,38.095238095238095
26,San Antonio Spurs,53.392500000000005,46.7275,37.66,47.50750000000001,54.11499999999999,Will Barton,17.900000000000002,25.806451612903224,Utah,40.47619047619048
27,Toronto Raptors,39.91,50.795,43.05,37.2225,42.45,Keita Bates-Diop,8.899999999999999,29.03225806451613,Minnesota,50.0
28,Utah Jazz,48.185,36.845,44.63,39.8225,52.385000000000005,Nicolas Batum,13.500000000000002,19.35483870967742,New York,59.523809523809526
29,Washington Wizards,45.61,34.36749999999999,46.4875,39.505,51.575,Darius Bazley,19.575000000000003,29.03225806451613,LA Lakers,40.47619047619048
30,,,,,,,Bradley Beal,37.37499999999999,45.16129032258064,,
31,,,,,,,Malik Beasley,20.325,38.70967741935484,,
32,,,,,,,MarJon Beauchamp,2.475,32.25806451612903,,
33,,,,,,,Patrick Beverley,18.1,25.806451612903224,,
34,,,,,,,Saddiq Bey,25.925,41.935483870967744,,
35,,,,,,,Khem Birch,6.574999999999999,54.83870967741935,,
36,,,,,,,Goga Bitadze,14.075,22.58064516129032,,
37,,,,,,,Bismack Biyombo,14.65,29.03225806451613,,
38,,,,,,,Buddy Boeheim,0.0,0.0,,
39,,,,,,,Bojan Bogdanović,32.675000000000004,61.29032258064516,,
40,,,,,,,Bol Bol,24.225,41.935483870967744,,
41,,,,,,,Leandro Bolmaro,3.875,3.225806451612903,,
42,,,,,,,Devin Booker,43.825,61.29032258064516,,
43,,,,,,,Brandon Boston Jr.,3.3000000000000003,38.70967741935484,,
44,,,,,,,Chris Boucher,19.550000000000004,45.16129032258064,,
45,,,,,,,James Bouknight,10.475,12.903225806451612,,
46,,,,,,,Tony Bradley,1.875,19.35483870967742,,
47,,,,,,,Malaki Branham,11.0,25.806451612903224,,
48,,,,,,,Christian Braun,11.675,12.903225806451612,,
49,,,,,,,Mikal Bridges,30.4,32.25806451612903,,
50,,,,,,,Oshae Brissett,1.7,6.451612903225806,,
51,,,,,,,Malcolm Brogdon,24.15,51.61290322580645,,
52,,,,,,,Dillon Brooks,23.450000000000003,38.70967741935484,,
53,,,,,,,Bruce Brown,21.35,19.35483870967742,,
54,,,,,,,Greg Brown III,3.75,38.70967741935484,,
55,,,,,,,Jaylen Brown,42.025,41.935483870967744,,
56,,,,,,,Moses Brown,2.925,29.03225806451613,,
57,,,,,,,Troy Brown Jr.,18.15,9.67741935483871,,
58,,,,,,,Jalen Brunson,37.05,41.935483870967744,,
59,,,,,,,Reggie Bullock,15.2,32.25806451612903,,
60,,,,,,,Jimmy Butler,40.35,64.51612903225806,,
61,,,,,,,Kentavious Caldwell-Pope,25.4,41.935483870967744,,
62,,,,,,,Facundo Campazzo,7.0,25.806451612903224,,
63,,,,,,,Vlatko Čančar,-0.15,0.0,,
64,,,,,,,Clint Capela,25.025,22.58064516129032,,
65,,,,,,,Vernon Carey Jr.,0.0,0.0,,
66,,,,,,,Jevon Carter,12.825,12.903225806451612,,
67,,,,,,,Wendell Carter Jr.,30.925000000000004,29.03225806451613,,
68,,,,,,,Alex Caruso,19.5,29.03225806451613,,
69,,,,,,,Justin Champagnie,4.875,29.03225806451613,,
70,,,,,,,Kennedy Chandler,4.925,12.903225806451612,,
71,,,,,,,Max Christie,4.75,64.51612903225806,,
72,,,,,,,Josh Christopher,5.550000000000001,9.67741935483871,,
73,,,,,,,Brandon Clarke,17.474999999999998,22.58064516129032,,
74,,,,,,,Jordan Clarkson,32.725,41.935483870967744,,
75,,,,,,,Nic Claxton,28.90000000000001,35.483870967741936,,
76,,,,,,,Amir Coffey,6.3500000000000005,19.35483870967742,,
77,,,,,,,John Collins,32.325,25.806451612903224,,
78,,,,,,,Zach Collins,20.825,35.483870967741936,,
79,,,,,,,Mike Conley,29.375000000000004,38.70967741935484,,
80,,,,,,,Robert Covington,16.349999999999998,38.70967741935484,,
81,,,,,,,Torrey Craig,12.825,29.03225806451613,,
82,,,,,,,Cade Cunningham,42.875,45.16129032258064,,
83,,,,,,,Seth Curry,15.5,32.25806451612903,,
84,,,,,,,Stephen Curry,52.075,70.96774193548387,,
85,,,,,,,Dyson Daniels,14.375,51.61290322580645,,
86,,,,,,,Anthony Davis,48.25,61.29032258064516,,
87,,,,,,,Johnny Davis,2.375,6.451612903225806,,
88,,,,,,,Terence Davis,11.45,38.70967741935484,,
89,,,,,,,Dewayne Dedmon,5.8,16.129032258064516,,
90,,,,,,,Matthew Dellavedova,4.0,38.70967741935484,,
91,,,,,,,DeMar DeRozan,38.45,61.29032258064516,,
92,,,,,,,Moussa Diabaté,4.5,58.06451612903226,,
93,,,,,,,Mamadi Diakite,0.0,0.0,,
94,,,,,,,Hamidou Diallo,11.875,19.35483870967742,,
95,,,,,,,Gorgui Dieng,8.825000000000001,35.483870967741936,,
96,,,,,,,Ousmane Dieng,6.5,12.903225806451612,,
