Player,Stage 1: FPS,Stage 2
Precious Achiuwa,20.874999999999996,16.129032258064516
Steven Adams,27.150000000000002,19.35483870967742
Bam Adebayo,39.925000000000004,48.38709677419355
Santi Aldama,9.374999999999998,19.35483870967742
LaMarcus Aldridge,23.425,41.935483870967744
Nickeil Alexander-Walker,20.125,25.806451612903224
Grayson Allen,20.45,38.70967741935484
Jarrett Allen,35.35,38.70967741935484
Jose Alvarado,15.424999999999999,25.806451612903224
Justin Anderson,15.175,25.806451612903224
Kyle Anderson,21.624999999999996,19.35483870967742
Giannis Antetokounmpo,56.99999999999999,58.06451612903226
Thanasis Antetokounmpo,7.924999999999999,12.903225806451612
Carmelo Anthony,23.700000000000003,41.935483870967744
Cole Anthony,33.300000000000004,41.935483870967744
OG Anunoby,32.225,38.70967741935484
Ryan Arcidiacono,3.4500000000000006,22.58064516129032
Trevor Ariza,11.65,16.129032258064516
D.J. Augustin,10.349999999999998,29.03225806451613
Deni Avdija,20.249999999999996,22.58064516129032
Joel Ayayi,1.7,12.903225806451612
Deandre Ayton,34.099999999999994,41.935483870967744
Udoka Azubuike,10.999999999999998,22.58064516129032
Marvin Bagley III,22.900000000000002,25.806451612903224
LaMelo Ball,43.675000000000004,58.06451612903226
Lonzo Ball,33.199999999999996,41.935483870967744
Mo Bamba,27.125,35.483870967741936
Desmond Bane,31.700000000000003,48.38709677419355
Dalano Banton,8.725,12.903225806451612
Cat Barber,2.6,22.58064516129032
Harrison Barnes,28.949999999999996,38.70967741935484
Scottie Barnes,33.025,25.806451612903224
RJ Barrett,33.25,38.70967741935484
Will Barton,29.150000000000002,32.25806451612903
Paris Bass,6.0,38.70967741935484
Charles Bassey,8.475,38.70967741935484
Keita Bates-Diop,12.775,22.58064516129032
Nicolas Batum,20.174999999999997,32.25806451612903
Kent Bazemore,8.7,25.806451612903224
Darius Bazley,24.325000000000003,16.129032258064516
Bradley Beal,40.67499999999998,38.70967741935484
Malik Beasley,20.625,38.70967741935484
Jordan Bell,3.25,19.35483870967742
DeAndre' Bembry,12.975,19.35483870967742
Dāvis Bertāns,10.674999999999999,29.03225806451613
Patrick Beverley,25.474999999999998,35.483870967741936
Saddiq Bey,29.95,35.483870967741936
Khem Birch,13.125,19.35483870967742
Goga Bitadze,15.225000000000001,22.58064516129032
Bismack Biyombo,14.100000000000001,25.806451612903224
Nemanja Bjelica,16.325,29.03225806451613
Eric Bledsoe,23.250000000000004,32.25806451612903
Keljin Blevins,6.7749999999999995,16.129032258064516
Bogdan Bogdanović,28.15,45.16129032258064
Bojan Bogdanović,27.475,45.16129032258064
Bol Bol,5.05,12.903225806451612
Leandro Bolmaro,4.05,9.67741935483871
Isaac Bonga,3.075,16.129032258064516
Devin Booker,43.4,54.83870967741935
Brandon Boston Jr.,12.599999999999998,25.806451612903224
Chris Boucher,20.799999999999997,35.483870967741936
James Bouknight,8.325,29.03225806451613
Avery Bradley,12.700000000000001,35.483870967741936
Tony Bradley,9.299999999999999,19.35483870967742
Ignas Brazdeikis,9.175,16.129032258064516
Mikal Bridges,26.4,35.483870967741936
Miles Bridges,38.05,41.935483870967744
Oshae Brissett,19.775000000000002,22.58064516129032
Malcolm Brogdon,36.475,48.38709677419355
Armoni Brooks,11.174999999999999,25.806451612903224
Dillon Brooks,29.299999999999997,41.935483870967744
Bruce Brown,21.599999999999998,32.25806451612903
Charlie Brown Jr.,5.025,22.58064516129032
Chaundee Brown Jr.,12.7,22.58064516129032
Greg Brown III,11.049999999999999,12.903225806451612
Jaylen Brown,39.175000000000004,41.935483870967744
Moses Brown,9.500000000000002,29.03225806451613
Sterling Brown,8.95,25.806451612903224
Troy Brown Jr.,11.025,25.806451612903224
Jalen Brunson,29.775000000000002,41.935483870967744
Thomas Bryant,15.6,29.03225806451613
Shaq Buchanan,4.25,25.806451612903224
Reggie Bullock,17.125,29.03225806451613
Trey Burke,8.799999999999999,32.25806451612903
Alec Burks,25.325,41.935483870967744
Jared Butler,8.575,25.806451612903224
Jimmy Butler,40.425000000000004,54.83870967741935
Devontae Cacok,9.1,38.70967741935484
Kentavious Caldwell-Pope,23.5,41.935483870967744
Facundo Campazzo,15.2,32.25806451612903
Vlatko Čančar,8.924999999999999,22.58064516129032
Devin Cannady,18.7,32.25806451612903
Clint Capela,31.475,29.03225806451613
Vernon Carey Jr.,5.625,25.806451612903224
Jevon Carter,10.025,25.806451612903224
Wendell Carter Jr.,34.525,32.25806451612903
Alex Caruso,21.9,22.58064516129032
Willie Cauley-Stein,5.8,9.67741935483871
Ahmad Caver,2.0,32.25806451612903
Justin Champagnie,5.900000000000001,25.806451612903224
Zylan Cheatham,0.0,22.58064516129032
Chris Chiozza,6.824999999999999,12.903225806451612
Marquese Chriss,10.450000000000001,22.58064516129032
Josh Christopher,15.875,22.58064516129032
Gary Clark,7.6499999999999995,32.25806451612903
Brandon Clarke,22.174999999999997,32.25806451612903
Jordan Clarkson,26.525,41.935483870967744
Nic Claxton,19.85,25.806451612903224
Amir Coffey,17.275,35.483870967741936
John Collins,31.899999999999995,38.70967741935484
Zach Collins,20.025000000000002,25.806451612903224
Darren Collison,4.424999999999999,6.451612903225806
Mike Conley,28.9,51.61290322580645
Pat Connaughton,20.150000000000002,32.25806451612903
Tyler Cook,7.675000000000001,22.58064516129032
Sharife Cooper,1.4500000000000002,6.451612903225806
Petr Cornelie,3.0750000000000006,29.03225806451613
DeMarcus Cousins,19.95,41.935483870967744
Robert Covington,23.275,35.483870967741936
Torrey Craig,15.649999999999999,22.58064516129032
Jae Crowder,23.025000000000002,29.03225806451613
Jarrett Culver,7.575,19.35483870967742
Jarron Cumberland,2.4,22.58064516129032
Cade Cunningham,35.52499999999999,41.935483870967744
Seth Curry,26.674999999999997,41.935483870967744
Stephen Curry,45.5,64.51612903225806
Anthony Davis,46.325,54.83870967741935
Ed Davis,4.525,22.58064516129032
Terence Davis,18.875000000000004,38.70967741935484
Gabriel Deck,4.9750000000000005,19.35483870967742
Dewayne Dedmon,16.25,35.483870967741936
Sam Dekker,0.0,0.0
Javin DeLaurier,3.25,12.903225806451612
DeMar DeRozan,43.3,58.06451612903226
Mamadi Diakite,12.175000000000002,19.35483870967742
Cheick Diallo,9.149999999999999,25.806451612903224
Hamidou Diallo,21.65,32.25806451612903
Gorgui Dieng,9.499999999999998,35.483870967741936
Spencer Dinwiddie,28.599999999999998,38.70967741935484
Donte DiVincenzo,20.849999999999994,25.806451612903224
Luka Dončić,55.724999999999994,58.06451612903226
Luguentz Dort,28.0,38.70967741935484
Ayo Dosunmu,19.400000000000002,9.67741935483871
Damyean Dotson,4.0,12.903225806451612
Devon Dotson,5.749999999999999,22.58064516129032
Sekou Doumbouya,15.5,64.51612903225806
Jeff Dowtin,7.4,12.903225806451612
PJ Dozier,14.025,16.129032258064516
Goran Dragić,19.324999999999996,22.58064516129032
Andre Drummond,25.424999999999997,35.483870967741936
Chris Duarte,23.825,35.483870967741936
David Duke Jr.,11.449999999999998,19.35483870967742
Kris Dunn,22.875,29.03225806451613
Kevin Durant,51.64999999999999,61.29032258064516
Jaime Echenique,0.0,0.0
Anthony Edwards,37.400000000000006,45.16129032258064
Carsen Edwards,13.775,25.806451612903224
Kessler Edwards,13.55,22.58064516129032
Rob Edwards,3.375,12.903225806451612
CJ Elleby,14.525,12.903225806451612
Wayne Ellington,11.95,29.03225806451613
Joel Embiid,55.875000000000014,64.51612903225806
James Ennis III,8.074999999999998,32.25806451612903
Drew Eubanks,17.75,25.806451612903224
Tacko Fall,4.875,22.58064516129032
Derrick Favors,13.425000000000002,16.129032258064516
Bruno Fernando,6.0,45.16129032258064
Dorian Finney-Smith,23.525000000000002,25.806451612903224
Malik Fitts,3.3249999999999997,29.03225806451613
Malachi Flynn,9.849999999999998,16.129032258064516
Bryn Forbes,13.05,38.70967741935484
Aleem Ford,7.3500000000000005,6.451612903225806
Trent Forrest,8.975,22.58064516129032
Evan Fournier,23.950000000000003,35.483870967741936
De'Aaron Fox,38.92499999999999,48.38709677419355
Melvin Frazier,16.775,25.806451612903224
Tim Frazier,9.899999999999999,9.67741935483871
Enes Freedom,10.5,32.25806451612903
Markelle Fultz,24.225,38.70967741935484
Wenyen Gabriel,11.825000000000001,19.35483870967742
Daniel Gafford,21.025000000000002,32.25806451612903
Danilo Gallinari,21.575,35.483870967741936
Langston Galloway,7.7,6.451612903225806
Darius Garland,41.025,58.06451612903226
Marcus Garrett,5.725,12.903225806451612
Usman Garuba,9.175,22.58064516129032
Luka Garza,11.525,25.806451612903224
Rudy Gay,16.9,32.25806451612903
Paul George,46.074999999999996,51.61290322580645
Taj Gibson,13.100000000000001,32.25806451612903
Josh Giddey,33.349999999999994,29.03225806451613
Shai Gilgeous-Alexander,43.2,51.61290322580645
Anthony Gill,8.125,32.25806451612903
Freddie Gillespie,10.499999999999998,19.35483870967742
Rudy Gobert,40.325,32.25806451612903
Brandon Goodwin,12.075000000000001,22.58064516129032
Jordan Goodwin,0.625,12.903225806451612
Aaron Gordon,28.225,25.806451612903224
Eric Gordon,21.700000000000006,35.483870967741936
