Player,Stage 1: FPS,Stage 2
Precious Achiuwa,20.6,29.03225806451613
Steven Adams,23.650000000000002,22.58064516129032
Bam Adebayo,34.050000000000004,35.483870967741936
Ochai Agbaji,7.95,16.129032258064516
Santi Aldama,22.524999999999995,19.35483870967742
Nickeil Alexander-Walker,9.950000000000001,48.38709677419355
Grayson Allen,18.625,25.806451612903224
Jarrett Allen,30.775,32.25806451612903
Jose Alvarado,15.85,25.806451612903224
Kyle Anderson,8.825,25.806451612903224
Giannis Antetokounmpo,60.849999999999994,58.06451612903226
Thanasis Antetokounmpo,0.0,0.0
Cole Anthony,31.050000000000004,32.25806451612903
OG Anunoby,31.350000000000005,38.70967741935484
Ryan Arcidiacono,0.0,0.0
Deni Avdija,13.424999999999999,29.03225806451613
Deandre Ayton,29.45,32.25806451612903
Udoka Azubuike,7.875,32.25806451612903
Patrick Baldwin Jr.,0.0,0.0
Mo Bamba,12.074999999999998,25.806451612903224
Paolo Banchero,40.80000000000001,41.935483870967744
Desmond Bane,41.175000000000004,61.29032258064516
Dalano Banton,6.25,29.03225806451613
Harrison Barnes,22.825,22.58064516129032
Scottie Barnes,32.6,51.61290322580645
RJ Barrett,28.450000000000003,35.483870967741936
Will Barton,17.900000000000002,25.806451612903224
Keita Bates-Diop,8.899999999999999,29.03225806451613
Nicolas Batum,13.500000000000002,19.35483870967742
Darius Bazley,19.575000000000003,29.03225806451613
Bradley Beal,37.37499999999999,45.16129032258064
Malik Beasley,20.325,38.70967741935484
MarJon Beauchamp,2.475,32.25806451612903
Patrick Beverley,18.1,25.806451612903224
Saddiq Bey,25.925,41.935483870967744
Khem Birch,6.574999999999999,54.83870967741935
Goga Bitadze,14.075,22.58064516129032
Bismack Biyombo,14.649999999999999,29.03225806451613
Buddy Boeheim,0.0,0.0
Bojan Bogdanović,32.675000000000004,61.29032258064516
Bol Bol,24.224999999999998,41.935483870967744
Leandro Bolmaro,3.875,3.225806451612903
Devin Booker,43.824999999999996,61.29032258064516
Brandon Boston Jr.,3.3000000000000003,38.70967741935484
Chris Boucher,19.550000000000004,45.16129032258064
James Bouknight,10.475,12.903225806451612
Tony Bradley,1.875,19.35483870967742
Malaki Branham,11.0,25.806451612903224
Christian Braun,11.674999999999999,12.903225806451612
Mikal Bridges,30.400000000000002,32.25806451612903
Oshae Brissett,1.7,6.451612903225806
Malcolm Brogdon,24.15,51.61290322580645
Dillon Brooks,23.450000000000003,38.70967741935484
Bruce Brown,21.35,19.35483870967742
Greg Brown III,3.7500000000000004,38.70967741935484
Jaylen Brown,42.025,41.935483870967744
Moses Brown,2.925,29.03225806451613
Troy Brown Jr.,18.150000000000002,9.67741935483871
Jalen Brunson,37.05,41.935483870967744
Reggie Bullock,15.2,32.25806451612903
Jimmy Butler,40.35,64.51612903225806
Kentavious Caldwell-Pope,25.4,41.935483870967744
Facundo Campazzo,7.0,25.806451612903224
Vlatko Čančar,-0.15,0.0
Clint Capela,25.025,22.58064516129032
Vernon Carey Jr.,0.0,0.0
Jevon Carter,12.825000000000001,12.903225806451612
Wendell Carter Jr.,30.925000000000004,29.03225806451613
Alex Caruso,19.5,29.03225806451613
Justin Champagnie,4.875,29.03225806451613
Kennedy Chandler,4.925,12.903225806451612
Max Christie,4.75,64.51612903225806
Josh Christopher,5.550000000000001,9.67741935483871
Brandon Clarke,17.474999999999998,22.58064516129032
Jordan Clarkson,32.725,41.935483870967744
Nic Claxton,28.900000000000006,35.483870967741936
Amir Coffey,6.3500000000000005,19.35483870967742
John Collins,32.325,25.806451612903224
Zach Collins,20.825,35.483870967741936
Mike Conley,29.375000000000004,38.70967741935484
Robert Covington,16.349999999999998,38.70967741935484
Torrey Craig,12.825,29.03225806451613
Cade Cunningham,42.875,45.16129032258064
Seth Curry,15.5,32.25806451612903
Stephen Curry,52.075,70.96774193548387
Dyson Daniels,14.375,51.61290322580645
Anthony Davis,48.25,61.29032258064516
